TimePHT,TemperatureC,Dew PointC
0,27.72222222222222,22.444444444444443
1,27.36842105263158,22.526315789473685
2,27.193548387096776,22.548387096774192
3,26.764705882352942,22.294117647058822
4,26.57894736842105,22.63157894736842
5,26.20689655172414,22.17241379310345
6,26.0,22.36842105263158
7,27.58823529411765,22.764705882352942
8,28.964285714285715,22.642857142857142
9,30.42105263157895,22.42105263157895
10,31.210526315789473,22.157894736842106
11,32.0,22.125
12,33.0,21.944444444444443
13,33.166666666666664,21.88888888888889
14,33.43333333333333,21.466666666666665
15,33.388888888888886,21.333333333333332
16,32.526315789473685,22.157894736842106
17,31.814814814814813,21.925925925925927
18,30.647058823529413,22.22222222222222
19,29.72222222222222,22.27777777777778
20,28.9,22.633333333333333
21,28.61111111111111,22.72222222222222
22,28.22222222222222,22.5
23,27.933333333333334,22.433333333333334
